scan_name,proposed_scan_group,note
redelivery request new address made for mon 26 june 2023 alternative address acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request new address made for mon 30 january 2023 alternative address acknowledgement sms alternative address acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request new address made for thu 11 may 2023 alternative address acknowledgement sms alternative address acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request new address made for wed 10 may 2023 alternative address acknowledgement sms alternative address acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for fri 18 october 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for fri 23 august 2024 between 07 00 and 22 00 upgrade acknowledgement sms notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for fri 30 august 2024 between 07 00 and 22 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for sat 01 march 2025 between 08 00 and 12 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for sat 02 march 2024 between 08 00 and 12 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for sat 06 april 2024 between 07 00 and 22 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for sat 06 april 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for sat 15 june 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for sat 31 august 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for sun 16 june 2024 between 07 00 and 22 00 upgrade acknowledgement sms notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for sun 16 june 2024 between 08 00 and 12 00 upgrade acknowledgement sms notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for thu 06 june 2024 between 08 00 and 12 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for thu 17 october 2024 between 08 00 and 12 00 upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for thu 29 august 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for tue 03 september 2024 between 08 00 and 12 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for tue 17 october 2023 between 07 00 and 22 00 upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for tue 17 october 2023 between 08 00 and 12 00 upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for tue 23 april 2024 between 09 00 and 12 00,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for tue 27 february 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redelivery request service upgrade made for wed 24 april 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,
redirected to depot shipment delayed sms shipment delayed e mail notification sent,Transit delay,
redirected to southall depot shipment delayed sms shipment delayed e mail notification sent,Transit delay,
reminder email sent successfully,not_clear,
reminder sms confirmed as received,not_clear,
returned by customer,Returned to sender,
returned to sender,Returned to sender,
return holding / storage limit expired,Shipment to be returned,
return to consignor requested,Shipment to be returned,
shipment unvoided,not_clear,
the parcel has been collected by loura,Delivered,
the parcel has been requested to be returned,Shipment to be returned,
the parcel has now been collected from the local pickup point,Delivered,
the parcel is at the local depot awaiting a suitable time to deliver,Arrival at delivery depot,
the parcel was refused at the delivery point,Delivery refused,
the parcel was refused at the pickup point by the receiver,Delivery refused,
the receiver has been advised of when their delivery will take place between 09 31 10 31,not_clear,
the receiver has been advised of when their delivery will take place between 09 36 10 36,not_clear,
the receiver has been advised of when their delivery will take place between 10 02 11 02,not_clear,
the receiver has been advised of when their delivery will take place between 10 21 11 21,not_clear,
the receiver has been advised of when their delivery will take place between 11 51 12 51,not_clear,
the receiver has been advised of when their delivery will take place between 12 38 13 38,not_clear,
the receiver has been advised of when their delivery will take place between 13 01 14 01,Delivery scheduled for next business day,
the receiver has been advised of when their delivery will take place between 13 28 14 28,Delivery scheduled for next business day,
the receiver has been advised of when their delivery will take place between 15 06 16 06,Delivery scheduled for next business day,
the receiver has been advised of when their delivery will take place between 15 49 16 49,Delivery scheduled for next business day,
unable to deliver,Unable to deliver,
unable to deliver address changed,Unable to deliver,
unable to deliver address changed,Unable to deliver,
unable to deliver address changed by pieterse mode a textiel,Unable to deliver,
unable to deliver address query by barry emons,Unable to deliver,
unable to deliver damaged,Unable to deliver,
unable to deliver delivery date rescheduled,Unable to deliver,
unable to deliver delivery date rescheduled by alide he,Unable to deliver,
unable to deliver delivery date rescheduled by linde reus,Unable to deliver,
unable to deliver door access code required,Unable to deliver,
unable to deliver reason unknown by alide he,Unable to deliver,
unable to deliver recipient absent by cox,Delivery attempted. Receiver not available for delivery,
unable to deliver recipient absent by dernadett,Delivery attempted. Receiver not available for delivery,
unable to deliver recipient absent by drew,Delivery attempted. Receiver not available for delivery,
unable to deliver recipient absent by estes,Delivery attempted. Receiver not available for delivery,
unable to deliver recipient absent by grosch,Delivery attempted. Receiver not available for delivery,
unable to deliver recipient absent by kevin geweyer,Delivery attempted. Receiver not available for delivery,
unable to deliver recipient absent by linde reus,Delivery attempted. Receiver not available for delivery,
unable to deliver recipient absent by mike,Delivery attempted. Receiver not available for delivery,
unable to deliver recipient absent by n owen,Delivery attempted. Receiver not available for delivery,
unable to deliver recipient on holiday,Delivery attempted. Receiver not available for delivery,
unable to deliver recipient on holiday by linde reus,Delivery attempted. Receiver not available for delivery,
unable to deliver refused by recipient,Delivery refused,
unable to deliver refused by recipient by dpd,Delivery refused,
unable to deliver refused by recipient by drew,Delivery refused,
unable to deliver refused by recipient by elms,Delivery refused,
unable to deliver refused by recipient by gilles,Delivery refused,
unable to deliver refused by recipient by tamara kvit,Delivery refused,
unable to deliver refused not required,Delivery refused,
unable to deliver refused to sign by brachmann,Delivery refused,
unable to deliver refused to sign by drew,Delivery refused,
unable to deliver uncontrollable event,Delivery attempted. Receiver not available for delivery,
a claim has been issued to the sender for your package please contact the sender for more information,Request to contact carrier,
a delivery change for this package is in progress,New instructions received - We updated the delivery information for your package,
a missing commercial invoice is causing a delay we are working to obtain this information,Additional information or paperwork required for customs clearance,
a new tracking number was assigned to this package use the new tracking number for status updates,new__new__Tracking number assigned,new
an investigation has been opened for your lost package,Investigation opened for lost package,
arrived at facility,Arrival at delivery depot,
delivered Code not found,not_clear,
delivered to ups access point,new__Delivered to collection point or pick-up location,new
delivery has been rescheduled due to holiday closures,Delivery rescheduled due to holiday closures,
delivery will be delayed by one business day,A late trailer arrival has delayed delivery - Delivery may be delayed by 24 hours,
departed from facility,Departure Scan,
drop off,not_clear,
duties or taxes are due on this package,Import charges are due,
export scan,Export Scan,
good news we ve received export clearance information for your package this hold has been resolved,Released by customs. Clearance complete.,
import charges are due for this package select pay now where available or pay at delivery,Import charges are due,
import c o d icod charges have been paid or billed,Import charges are due,
import scan,Import Scan,
missing shipment data is causing a delay we are awaiting electronic data upload from the shipper,Transit delay,
out for delivery,Out for delivery,
out for delivery today,Out for delivery,
pickup scan,Shipment collected,
processing at ups facility,In Transit,
scheduled for delivery today,Scheduled for delivery,
shipper created a label ups has not received the package yet,new__new__Label created but not received,new
the address has been updated as the receiver requested,Change of delivery address,
the c o d amount is missing from the label we re attempting to update this information,Information needed from the receiver,
the company or receiver name is incorrect this will delay delivery we re attempting to update this information,Correct company or receiver name needed for delivery,
the company or receiver name is incorrect your delivery will be rescheduled once this issue is resolved,Correct company or receiver name needed for delivery,
the delivery address provided is incorrect we are attempting to update the address your delivery will be rescheduled,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,
the delivery change was completed,New instructions received - We updated the delivery information for your package,
the delivery date has been rescheduled as the receiver requested,Delivery rescheduled,
the delivery will be rescheduled as the receiver requested,Delivery rescheduled,
the driver was not able to receive payment a final attempt will be made the next business day,1st delivery attempt. Unable to collect tax payment.,
the driver was unable to collect funds on the final delivery attempt,Final delivery attempt. Unable to collect tax payment.,
the information requested has been obtained and the hold has been resolved shipment is now in transit,In Transit,
the package is being held for a future delivery date we ll attempt to deliver on the date requested,Shipment on hold,
the package is being held for pickup as the receiver requested pickup must be made within 5 business days,Shipment ready for collection from pick-up point,
the package will be returned to the sender,Returned to sender,
the receiver does not want the product and refused the delivery,Delivery refused,
the receiver doesn t accept c o d s and refused the delivery,Delivery refused,
the receiver doesn t accept c o d s and refused the delivery we ll contact the sender about this delivery attempt,Delivery refused,
the receiver has moved we will deliver the package to the receiver s new address,Receiver moved,
the receiver refused the delivery ups will contact the sender for further instructions,Delivery refused,
the receiver requested this package to be held for pickup at the ups facility,Shipment ready for collection from pick-up point,
the receiver was not available for delivery we ll make a second attempt the next business day,1st of 3 Delivery attempts. Receiver not available,
the receiving business was closed at the time of the final delivery attempt,Delivery attempted. Receiver not available for delivery,
the street number is incorrect this may delay delivery we re attempting to update the address,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,
this package is being held for a future delivery date,Shipment on hold,
ups access point possession,In Transit,
ups has received the information needed to submit your package for clearance,Internal activity scan,
ups initiated contact with receiver or importer for clearance information once received ups will submit for clearance,new__Contact with sender made,new
ups initiated contact with the sender to obtain clearance information once received ups will submit for clearance,new__Contact with sender made,new
voided information received,not_clear,
warehouse scan,Warehouse Scan,
we are trying to get the security access our driver needs for this delivery,Delivery attempted. Security access needed for delivery.,
we ll contact the sender or receiver about this delivery,Request to contact carrier,
we received a request from the receiver to reschedule the delivery,Request to reschedule delivery,
we require a phone number for the delivery address,Information needed from the receiver,
we re sorry this package has experienced a sortation delay the package has been rerouted to the correct destination,Transit delay,
we re sorry your package was delayed we are adjusting delivery plans as quickly as possible,Transit delay,
we tried to deliver the package but were unable to receive payment a second attempt will be made the next business day,1st of 3 Delivery attempts. Receiver not available,
we tried to deliver to the business again but it was closed a final attempt will be made the next business day,1st of 3 Delivery attempts. Receiver not available,
we tried to deliver to the business but it was closed a second attempt will be made the next business day,1st of 3 Delivery attempts. Receiver not available,
we ve incorrectly sorted this package which may cause a delay,Carrier misrouted the shipment - Corrective action underway,
we ve missed the scheduled transfer time this may cause a delay,Delay due to operational reasons,
we ve received a request from the receiver to hold the package for pickup at a ups location,Delivery to pick-up point pending,
we ve updated the delivery address as requested by the receiver,New instructions received - We updated the delivery information for your package,
we were unable to deliver your package it s on the way to a secure ups access point location for pick up,In Transit,
your delivery will be rescheduled,Delivery rescheduled,
your package has been released by the government agency,Released by customs. Clearance complete.,
your package is currently at the ups access point and is scheduled to be tendered to ups,In Transit,
your package is on the way,In Transit,
your package is pending release from a government agency once they release it your package will be on its way,Awaiting release from customs,
i112 Parcel cannot be located,Parcel cannot be located,
i123 Awaiting addressee's instruction,Information needed from the receiver,
i124 Held - scheduled delivery,Shipment on hold,
i130 Delivery delayed and rescheduled,Delivery rescheduled,
i137 Handed to delivery agent,Out for delivery,
i145 Do not display,not_clear,
i166 Collection attempted - parcel damaged,Package damaged in transit,
i238 No PreAdvice Failed PIN Validation Attempt,not_clear,
i258 Recipient email address - domestic traffic,not_clear,
i259 Recipient mobile number - domestic traffic,not_clear,
i260 Sender email address - domestic traffic,not_clear,
i261 Sender mobile number - domestic traffic,not_clear,
"i273 RTS ""Other""",not_clear,
i525 Local collect customer collect (with fee),not_clear,
i532 Refused by addressee - return to sender,Delivery refused,
i533 Not collected by addressee - return to sender,Returned to sender,
ibpd Collected by addressee,Delivered,
icac Attempted collection,Collection failed,
icax Wrong delivery address,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,
iccp Delivered to customers collection point,new__Delivered to collection point or pick-up location,new
idd Damage observed and noted,Package damaged in transit,
ihwa Code not found,not_clear,
address amended by client,New instructions received - We updated the delivery information for your package,
awaiting hub return despatch,In Transit,
awaiting marshall,not_clear,
change of delivery method alert pshop,New instructions received - We updated the delivery information for your package,
collection updated,not_clear,
confirmed returns fraud,not_clear,
courier received,Shipment collected,
damaged after courier inbound activity,Package damaged in transit,
damaged after depot receipt,Package damaged in transit,
damaged after depot return despatch,Package damaged in transit,
damaged after depot returns sort,Package damaged in transit,
damaged after depot sort,Package damaged in transit,
damaged after driver collected from locker,Package damaged in transit,
damaged after hub despatch,Package damaged in transit,
damaged after hub returns receipt,Package damaged in transit,
damaged after pshop customer drop off,Package damaged in transit,
damaged after pshop driver collection,Package damaged in transit,
damaged after pshop driver delivery,Package damaged in transit,
deferred p c scan,not_clear,
delivered bfpo hq uk,Delivered,
delivered to courier,In Transit,
delivered to customer,Delivered,
delivered to secure location,Driver release - Delivered to a safe place,
delivery instruction amended by client,New instructions received - We updated the delivery information for your package,
delivery preference specified,new__new__Delivery preference specified,new
delivery sorted at depot,In Transit,
driver not del no preadvice,not_clear,
exception resolved,not_clear,
held in pra stop and return,Shipment on hold,
in hub incomplete address,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,
in hub parcel expired,not_clear,
locker access problem,Unable to deliver to pick-up point. Contact carrier for alternative arrangements,
locker full,not_clear,
misrouted via gp,Carrier misrouted the shipment - Corrective action underway,
new parcel label created,new__new__New parcel label created,new
parcel delayed 24hrs at the hub,Transit delay,
parcel disposed of due to exceeding maximum shelf life,Parcel disposed of,
potential security issue,new__new__Potential security issue,new
pre advice loaded,not_clear,
pre advice loaded from offline qr code,not_clear,
preadvice update,not_clear,
processed at depot,In Transit,
processed at hermes hub,In Transit,
receipt at hub,Arrival at delivery depot,
received at hermes hub,Arrival at delivery depot,
recovered by net buster,new__new__recovered by net buster,new
refused not ordered,Delivery refused,
return has been processed at the evri hub and will be with the retailer shortly,In Transit,
return has been processed at the evri hub and will be with the retailer shortly,In Transit,
return has been processed at the hermes depot and will be with the retailer shortly,In Transit,
return has been processed at the hermes hub and will be with the retailer shortly,In Transit,
return to depot no preadvce,In Transit,
safe place building foyer/entrance request,Driver release - Delivered to a safe place,
safe place open porch request,Driver release - Delivered to a safe place,
safe place residential concierge request,Driver release - Delivered to a safe place,
sort at internal chute,In Transit,
stop and return acknowledged,new__new__stop and return acknowledged,new
stop and return customer dispute,new__new__stop and return customer dispute,new
stop and return customer request,new__new__stop and return customer request,new
stop and return parcel out of sla,new__new__stop and return parcel out of sla,new
the address provided isn t correct so please send a replacement with the correct address,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,
the customer has requested that this parcel be diverted to their porch,New instructions received - We updated the delivery information for your package,
the parcel is at the local depot and is being sorted for delivery within 24 hours,In Transit,
the parcel is too large for the locker we re now returning the parcel back to you,Shipment to be returned,
this parcel is too large a specialist evri courier will deliver on the next working day,Scheduled for delivery,
this parcel is too large a specialist hermes courier will deliver on the next working day,Scheduled for delivery,
this parcel is too large for our network so will be disposed of please send a replacement parcel,new__new__this parcel is too large for our network,new
unfortunately this parcel is damaged we ll assess the damage and update tracking,Package damaged in transit,
van held locker full,Shipment on hold,
van held locker technical issue,Shipment on hold,
we can t deliver due to a road incident we ll update tracking once your parcel is on its way,Delay due to operational reasons,
we have arrange for this parcel to be returned as requested by the retailer,Returned to sender,
we have this parcel we ll get it on its way once the parcel information has been sent to hermes,In Transit,
we re unable to deliver this parcel as it has been damaged please send a replacement parcel,Package damaged in transit,
agreed delivery,not_clear,
awaiting consignee collection,Shipment ready for collection from pick-up point,
bad address,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,
closed on arrival,not_clear,
closed shipment,not_clear,
customer moved,Receiver moved,
destroyed/disposal,new__new__Package disposed,new
facility check in,not_clear,
forwarded to third party delivery agent delivery details expected,In Transit,
held for payment,Held awaiting tax payment by the receiver,
image available,Internal activity scan,
in clearance processing,Customs clearance in progress,
missed delivery cycle,Delivery attempted. Receiver not available for delivery,
missort,Carrier misrouted the shipment - Corrective action underway,
not delivered,Delivery attempted. Receiver not available for delivery,
not home,Delivery attempted. Receiver not available for delivery,
on hold,Shipment on hold,
record of transit,not_clear,
returned to consignor,Returned to sender,
scheduled for movement,In Transit,
security inspection,Held for inspection by government agency,
shipment delivered san jose logistic center ca usa,Delivered,
shipment has departed from a dhl facility vitoria bra,Departure Scan,
shipment stopped,not_clear,
supplementary information has been received and merged with applicable shipment data,Internal activity scan,
weigh and dimension,not_clear,
ë°œì†¡ì¸ì´ ë°œì†¡ ì·¨ì†Œ,,
address corrected,New instructions received - We updated the delivery information for your package,
delay adult recipient unavailable age and required identification vary by country,Delivery attempted. Receiver not available for delivery,
delay customer access delay,Delivery attempted. Unable to access the premises for delivery.,
delay fedex holding package,Shipment on hold,
delay fedex holding package,Shipment on hold,
delay location not currently served by fedex,Delivery attempted. Receiver not available for delivery,
delay package delayed,Transit delay,
delay recipient location security delay delivery will be reattempted,Delivery attempted. Security access needed for delivery.,
delay unable to contact recipient for broker info,Request to contact carrier,
delay we have your package,not_clear,
delay your package is over the size/weight limit,Package exceeds maximum weight,
delivered left at back door,Driver release - Delivered to a safe place,
delivered left at back door package delivered to recipient address release authorized,Driver release - Delivered to a safe place,
delivered left at front desk,Delivered,
delivered left at front door package delivered to recipient address release authorized,Driver release - Delivered to a safe place,
delivered left at office/leasing,Delivered,
delivered left in mail room,Delivered,
delivered left in mail room package delivered to recipient address release authorized,Driver release - Delivered to a safe place,
delivery updated held unable to collect payment,Delivery attempted. Unable to collect tax payment.,
dropped off at fedex authorized shipcenter,Shipment dropped off awaiting carrier collection,
dropped off at fedex authorized shipcenter nobleton expres mart,Shipment dropped off awaiting carrier collection,
dropped off at fedex authorized shipcenter rawleigh food mart,Shipment dropped off awaiting carrier collection,
dropped off at fedex authorized shipcenter staples package received after final location pickup has occurred scheduled for pickup next business day,Shipment ready for collection from pick-up point,
dropped off at fedex onsite dollar general,Shipment dropped off awaiting carrier collection,
dropped off at fedex onsite vons,Shipment dropped off awaiting carrier collection,
en el centro de clasificaciÃ³n de destino,,
en el vehÃ­culo de fedex para entregar,,
en oficina local de fedex,In Transit,
envÃ­o cancelado por el remitente,,
excepciÃ³n de entrega el cliente no estÃ¡ disponible o la empresa cerrÃ³,,
fedexë¡œ ë°œì†¡ ì •ë³´ ì „ì†¡ë¨,,
informazioni sulla spedizione inviate a fedex,Internal activity scan,
liberaciÃ³n de envÃ­os internacionales exportaciÃ³n,,
liberaciÃ³n de envÃ­os internacionales importaciÃ³n,,
local delay your package may be late local delivery restrictions,Delay due to operational reasons,
retraso de liberaciÃ³n importaciÃ³n se requieren instrucciones de liberaciÃ³n del importador,,
return label link emailed to return sender,Return label left with the receiver,
sendungsinformationen an fedex gesendet,Internal activity scan,
sendung von absender storniert,Shipment cancelled,
shipment exception barcode label unreadable and replaced,Shipment exception - Corrective action underway,
shipment exception unable to deliver damaged package,Package damaged in transit,
zendingsinformatie naar fedex verzonden,Internal activity scan,
×‘×™×˜×•×œ ×ž×©×œ×•×— ×¢ ×™ ×”×©×•×œ×—,,
×ž×™×“×¢ ×¢×œ ×”×ž×©×œ×•×— × ×©×œ×— ××œ fedex,,
åˆ°è¾¾fedexé›†æ•£ä¸­å¿ƒ,,
å›½é™…è´§ç‰©æ”¾è¡Œ è¿›å£,,
å¯„ä»¶äººå·²å–æ¶ˆè´§ä»¶,,
å·²æ”¶å–,,
å·²ç¦»å¼€ fedex å§‹å‘åœ°æœåŠ¡ç«™,,
å·²è‡ªè¡ŒæŠ•é€’è‡³fedex onsite ç»ˆç‚¹æœåŠ¡ç«™å–ä»¶åŽ åŒ…è£¹å·²æ”¶åˆ° å·²å®‰æŽ’äºŽä¸‹ä¸€ä¸ªå·¥ä½œæ—¥å–ä»¶,,
æŠµè¾¾å½“åœ° fedex æœåŠ¡ç«™,,
æ­£åœ¨å°†åŒ…è£¹é€€å›žç»™å¯„ä»¶äºº é€€ä»¶è¿½è¸ªå·ç ,,
æ­£åœ¨æ¸…å…³,,
è´§ä»¶ä¿¡æ¯å·²å‘é€ç»™ fedex,,
é€”ä¸­,,
