scan_id,scan_name,type,scanGroupId,carrier,carrierId,current_scan_group,proposed_scan_group,proposed_sg_gpt_gpt-4o-mini,proposed_sg_gpt_gpt-4o-mini_1,proposed_sg_gpt_gpt-4o-mini_2,proposed_sg_gpt_gpt-4o-mini_3,proposed_sg_gpt_gpt-4o-mini_4,proposed_sg_gpt_gpt-4o-mini_5,proposed_sg_gpt_gpt-4o-mini_6,proposed_sg_gpt_gpt-4o-mini_7
delivered left at nightingale loghd3 received by nightingale lodhe-DPD UK-Delivered to neighbour,delivered left at nightingale loghd3 received by nightingale lodhe,RegEx,5e415cf1-6bd2-4698-982e-5785ebedf07a,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered to neighbour,Delivered to neighbour,,,,,,,,
delivered left at raze the roof received by smith-DPD UK-Delivered to neighbour,delivered left at raze the roof received by smith,RegEx,5e415cf1-6bd2-4698-982e-5785ebedf07a,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered to neighbour,Delivered to neighbour,,,,,,,,
delivered left at 9 0pp received by richard-DPD UK-Delivered to neighbour,delivered left at 9 0pp received by richard,RegEx,5e415cf1-6bd2-4698-982e-5785ebedf07a,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered to neighbour,Delivered to neighbour,,,,,,,,
delivered left at 11 received by owens-DPD UK-Delivered to neighbour,delivered left at 11 received by owens,RegEx,5e415cf1-6bd2-4698-982e-5785ebedf07a,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered to neighbour,Delivered to neighbour,,,,,,,,
your parcel has been been handed to the airline for export from the uk-DPD UK-Export Scan,your parcel has been been handed to the airline for export from the uk,RegEx,3d583349-098f-487d-a75c-71dea69b81f3,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Export Scan,Export Scan,,,,,,,,
delivered left at 38 received by paul-DPD UK-Delivered to neighbour,delivered left at 38 received by paul,RegEx,5e415cf1-6bd2-4698-982e-5785ebedf07a,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered to neighbour,Delivered to neighbour,,,,,,,,
confirmed at dpd pickup locker-DPD UK-Shipment ready for collection from pick-up point,confirmed at dpd pickup locker,RegEx,4f4bd244-5ace-4477-9179-34fd9e5b9023,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment ready for collection from pick-up point,Shipment ready for collection from pick-up point,,,,,,,,
delivered left at 2 received by mcgowan-DPD UK-Delivered to neighbour,delivered left at 2 received by mcgowan,RegEx,5e415cf1-6bd2-4698-982e-5785ebedf07a,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered to neighbour,Delivered to neighbour,,,,,,,,
manually sorted non conveyable traffic-DPD UK-Package damaged in transit,manually sorted non conveyable traffic,RegEx,c00bf613-506c-423f-b34a-ac3a2ad1fc90,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Package damaged in transit,In Transit,,,,,,,,
delivery to dpd pickup locker bp girdle toll service station requested not home sms notification sent-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup locker bp girdle toll service station requested not home sms notification sent,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup locker bp milton regis service station requested not home sms notification sent-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup locker bp milton regis service station requested not home sms notification sent,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
unable to deliver refused by recipient-DPD UK-Delivery refused,unable to deliver refused by recipient,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery refused,Delivery refused,,,,,,,,
collected parcel from dpd pickup locker-DPD UK-Shipment collected from pick-up location,collected parcel from dpd pickup locker,RegEx,a80c5c73-993a-4579-b0ba-cf9b3fd37287,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment collected from pick-up location,Shipment collected from pick-up location,,,,,,,,
delivery refused by driver using saturn-DPD UK-Delivery refused,delivery refused by driver using saturn,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery refused,Delivery refused,,,,,,,,
delivery to dpd pickup locker bp somerby hill service station requested collect from pickup acknowledgement sms notification sent-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup locker bp somerby hill service station requested collect from pickup acknowledgement sms notification sent,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
scan to warehouse-DPD UK-Warehouse Scan,scan to warehouse,RegEx,6c58c5e3-ac1b-4278-a29e-3d8b88034a71,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Warehouse Scan,Warehouse Scan,,,,,,,,
delivery runsheet image available-DPD UK-Internal activity scan,delivery runsheet image available,RegEx,91349ad2-8859-4778-a6a2-a280b3e2a2e8,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Internal activity scan,Internal activity scan,,,,,,,,
delivery to dpd pickup point requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup point requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
unable to deliver recipient absent by drew-DPD UK-Delivery attempted. Receiver not available for delivery,unable to deliver recipient absent by drew,RegEx,1c7ea3b8-dbe6-49d6-98e1-7b80b227e269,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery attempted. Receiver not available for delivery,Delivery attempted. Receiver not available for delivery,,,,,,,,
unable to deliver refused by recipient by drew-DPD UK-Delivery refused,unable to deliver refused by recipient by drew,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery refused,Delivery refused,,,,,,,,
unable to deliver refused to sign by drew-DPD UK-Delivery refused,unable to deliver refused to sign by drew,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery refused,Delivery refused,,,,,,,,
delivery to dpd pickup locker best one requested collect from pickup consumer acknowledgement sms collect from pickup consumer acknowledgement e mail notification sent-DPD UK-Shipment ready for collection from pick-up point,delivery to dpd pickup locker best one requested collect from pickup consumer acknowledgement sms collect from pickup consumer acknowledgement e mail notification sent,RegEx,4f4bd244-5ace-4477-9179-34fd9e5b9023,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment ready for collection from pick-up point,Delivery to pick-up point requested,,,,,,,,
reminder email sent successfully-DPD UK-Internal activity scan,reminder email sent successfully,RegEx,91349ad2-8859-4778-a6a2-a280b3e2a2e8,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Internal activity scan,Internal activity scan,,,,,,,,
redelivery request new address made for wed 10 may 2023 alternative address acknowledgement sms alternative address acknowledgement e mail notification sent-DPD UK-Delivery to alternative address requested,redelivery request new address made for wed 10 may 2023 alternative address acknowledgement sms alternative address acknowledgement e mail notification sent,RegEx,cae871bc-b874-4a61-9b2a-d980d6afcb21,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to alternative address requested,Delivery to alternative address requested,,,,,,,,
receiver refused to pay on delivery-DPD UK-Refusal to pay tax,receiver refused to pay on delivery,RegEx,6065251b-5e28-4ebf-8c33-a65ac16e5dd8,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Refusal to pay tax,Refusal to pay tax,,,,,,,,
held unexpected/uncontrollable event-DPD UK-Delayed due to circumstances beyond our control - Corrective action underway,held unexpected/uncontrollable event,RegEx,da51b056-3d09-4978-ab8e-695c2852f981,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delayed due to circumstances beyond our control - Corrective action underway,Delayed due to circumstances beyond our control - Corrective action underway,,,,,,,,
delivered to pickup point sms notification proof of delivery sms notification sent-DPD UK-Shipment ready for collection from pick-up point,delivered to pickup point sms notification proof of delivery sms notification sent,RegEx,4f4bd244-5ace-4477-9179-34fd9e5b9023,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment ready for collection from pick-up point,Shipment ready for collection from pick-up point,,,,,,,,
we have attempted to contact the receiver-DPD UK-Trying to contact receiver,we have attempted to contact the receiver,RegEx,6304c807-f86e-415c-a4b8-bd033fbe68b7,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Trying to contact receiver,Trying to contact receiver,,,,,,,,
delivery to dpd pickup shop not possible pickup delay sms notification sent-DPD UK-Unable to deliver to pick-up point - Re-attempt on the next business day,delivery to dpd pickup shop not possible pickup delay sms notification sent,RegEx,205b64f8-74d0-4bfe-8c13-b1ac717a34b8,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Unable to deliver to pick-up point - Re-attempt on the next business day,Unable to deliver to pick-up point. Contact carrier for alternative arrangements,,,,,,,,
we have sent a reminder email-DPD UK-Internal activity scan,we have sent a reminder email,RegEx,91349ad2-8859-4778-a6a2-a280b3e2a2e8,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Internal activity scan,Internal activity scan,,,,,,,,
delivered with consignee s authority by sandro strasser-DPD UK-Delivered,delivered with consignee s authority by sandro strasser,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
international held in hub-DPD UK-Shipment on hold,international held in hub,RegEx,1bd2ae08-39db-4489-a573-5ba5281922a6,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment on hold,Shipment on hold,,,,,,,,
delivery refused as the contact name was not recognised by sam-DPD UK-Delivery refused,delivery refused as the contact name was not recognised by sam,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery refused,Delivery refused,,,,,,,,
delivery to dpd pickup shop not possible pickup delay sms pickup delay e mail notification sent-DPD UK-Unable to deliver to pick-up point - Re-attempt on the next business day,delivery to dpd pickup shop not possible pickup delay sms pickup delay e mail notification sent,RegEx,205b64f8-74d0-4bfe-8c13-b1ac717a34b8,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Unable to deliver to pick-up point - Re-attempt on the next business day,Unable to deliver to pick-up point. Contact carrier for alternative arrangements,,,,,,,,
redelivery request service upgrade made for thu 29 august 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent-DPD UK-Request to reschedule delivery,redelivery request service upgrade made for thu 29 august 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,RegEx,399c081b-ae68-4372-9034-172fcc2619f3,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Request to reschedule delivery,Internal activity scan,,,,,,,,
pending information from origin depot-DPD UK-Internal activity scan,pending information from origin depot,RegEx,91349ad2-8859-4778-a6a2-a280b3e2a2e8,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Internal activity scan,Internal activity scan,,,,,,,,
duty and tax charges to customs clear the parcel have not been paid-DPD UK-Held awaiting tax payment by the receiver,duty and tax charges to customs clear the parcel have not been paid,RegEx,b57205dc-a8ba-4dfe-b958-85b18d25e4bd,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Held awaiting tax payment by the receiver,Held awaiting tax payment by the receiver,,,,,,,,
customs inspection required-DPD UK-Held for inspection by government agency,customs inspection required,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Held for inspection by government agency,Held for inspection by government agency,,,,,,,,
delivered with consignee s authority received by justyna weiss-DPD UK-Delivered,delivered with consignee s authority received by justyna weiss,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by esser dr simone-DPD UK-Delivered,delivered with consignee s authority received by esser dr simone,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by wolfgang jern-DPD UK-Delivered,delivered with consignee s authority received by wolfgang jern,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by nimatullah azami-DPD UK-Delivered,delivered with consignee s authority received by nimatullah azami,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by thomas haderli c/o llan lin-DPD UK-Delivered,delivered with consignee s authority received by thomas haderli c/o llan lin,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by windler-DPD UK-Delivered,delivered with consignee s authority received by windler,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by huber kerstin-DPD UK-Delivered,delivered with consignee s authority received by huber kerstin,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by tatjana lewinski-DPD UK-Delivered,delivered with consignee s authority received by tatjana lewinski,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by wolthusen janine-DPD UK-Delivered,delivered with consignee s authority received by wolthusen janine,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered id checked-DPD UK-Delivered,delivered id checked,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by elbadawi sophie-DPD UK-Delivered,delivered with consignee s authority received by elbadawi sophie,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by kern wolfgang-DPD UK-Delivered,delivered with consignee s authority received by kern wolfgang,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by michael rumpel-DPD UK-Delivered,delivered with consignee s authority received by michael rumpel,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
the parcel has been requested to be returned-DPD UK-Return of the package requested,the parcel has been requested to be returned,RegEx,e2dfa742-6a87-4e30-97a6-eafec17c2edf,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Return of the package requested,Return of the package requested,,,,,,,,
the parcel will now be delivered to an alternative address as requested-DPD UK-Delivery to alternative address requested,the parcel will now be delivered to an alternative address as requested,RegEx,cae871bc-b874-4a61-9b2a-d980d6afcb21,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to alternative address requested,Delivery to alternative address requested,,,,,,,,
unable to deliver refused by recipient by gilles-DPD UK-Delivery refused,unable to deliver refused by recipient by gilles,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery refused,Delivery refused,,,,,,,,
delivered to alternative address by almira batanovic-DPD UK-Delivered to neighbour,delivered to alternative address by almira batanovic,RegEx,5e415cf1-6bd2-4698-982e-5785ebedf07a,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered to neighbour,Delivered to neighbour,,,,,,,,
delivered with consignee s authority received by baskakov-DPD UK-Delivered,delivered with consignee s authority received by baskakov,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by doris heine-DPD UK-Delivered,delivered with consignee s authority received by doris heine,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
redirected to chelmsford depot-DPD UK-Carrier misrouted the shipment - Corrective action underway,redirected to chelmsford depot,RegEx,063db3fe-b8dc-4500-a63e-96a2441b08f3,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Carrier misrouted the shipment - Corrective action underway,Package has been re-directed to the destination,,,,,,,,
delivered with consignee s authority received by bernd mutke-DPD UK-Delivered,delivered with consignee s authority received by bernd mutke,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by dr florian stellmacher-DPD UK-Delivered,delivered with consignee s authority received by dr florian stellmacher,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by annika haas-DPD UK-Delivered,delivered with consignee s authority received by annika haas,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by den boer markus-DPD UK-Held for inspection by government agency,delivered with consignee s authority received by den boer markus,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Held for inspection by government agency,Delivered,,,,,,,,
import charges reminder sent-DPD UK-Import charges are due,import charges reminder sent,RegEx,cba98df5-340e-469c-bfe1-2a6cc80a78b5,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Import charges are due,Import charges are due,,,,,,,,
delivered to alternative address-DPD UK-Shipment exception - Corrective action underway,delivered to alternative address,RegEx,503ccd73-5556-48d9-a8fa-1c7dce74b2d6,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment exception - Corrective action underway,Delivery to alternative address requested,,,,,,,,
delivery to dpd pickup shop budni friedrichshain requested-DPD UK-Shipment dropped off awaiting carrier collection,delivery to dpd pickup shop budni friedrichshain requested,RegEx,bfea056c-8daf-4846-894b-f0e79240cf9e,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment dropped off awaiting carrier collection,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop romulco tweewielers requested-DPD UK-Request to reschedule delivery,delivery to dpd pickup shop romulco tweewielers requested,RegEx,399c081b-ae68-4372-9034-172fcc2619f3,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Request to reschedule delivery,Delivery to pick-up point requested,,,,,,,,
your redelivery request has been received-DPD UK-Request to reschedule delivery,your redelivery request has been received,RegEx,399c081b-ae68-4372-9034-172fcc2619f3,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Request to reschedule delivery,Request to reschedule delivery,,,,,,,,
unable to deliver door access code required-DPD UK-Delivery attempted. Unable to access the premises for delivery.,unable to deliver door access code required,RegEx,fa5b04f8-5672-4749-aa6d-f4192a90267c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery attempted. Unable to access the premises for delivery.,Delivery attempted. Security access needed for delivery.,,,,,,,,
delivered with consignee s authority received by gohlke thomas-DPD UK-Delivered,delivered with consignee s authority received by gohlke thomas,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
held in trailer from hub trailer 1953-DPD UK-A late trailer arrival has delayed delivery - Delivery may be delayed by 24 hours,held in trailer from hub trailer 1953,RegEx,1330f9fc-43ae-482a-b896-7a976d952b97,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,A late trailer arrival has delayed delivery - Delivery may be delayed by 24 hours,Shipment on hold,,,,,,,,
delivery to dpd pickup shop nur design requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop nur design requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivered with consignee s authority by evm 68-DPD UK-Delivered,delivered with consignee s authority by evm 68,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
image requested for carrier request made-DPD UK-Internal activity scan,image requested for carrier request made,RegEx,91349ad2-8859-4778-a6a2-a280b3e2a2e8,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Internal activity scan,Internal activity scan,,,,,,,,
off loaded-DPD UK-Arrival at delivery depot,off loaded,RegEx,778872ee-9dcf-4522-9998-26e6e06d38ff,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Arrival at delivery depot,Unload scan,,,,,,,,
delivery refused by jesus using saturn-DPD UK-Delivery refused,delivery refused by jesus using saturn,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery refused,Delivery refused,,,,,,,,
delivery to dpd pickup shop lotto totto kiosk requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop lotto totto kiosk requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
unable to deliver damaged-DPD UK-Package damaged in transit,unable to deliver damaged,RegEx,c00bf613-506c-423f-b34a-ac3a2ad1fc90,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Package damaged in transit,Package damaged in transit,,,,,,,,
redelivery request new address made for mon 26 june 2023 alternative address acknowledgement e mail notification sent-DPD UK-Rescheduled delivery due to updated address,redelivery request new address made for mon 26 june 2023 alternative address acknowledgement e mail notification sent,RegEx,f77abb6a-14d1-485f-91b6-71ed3e096044,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Rescheduled delivery due to updated address,Rescheduled delivery due to updated address,,,,,,,,
import charges paid-DPD UK-Tax payment received,import charges paid,RegEx,4b67c606-617b-455f-b410-1a17ce4ad186,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Tax payment received,Tax payment received,,,,,,,,
1 parcels collected on delivery-DPD UK-Shipment collected,1 parcels collected on delivery,RegEx,7e750f7e-2154-4c2f-836e-007e7786480c,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Shipment collected,Shipment collected,,,,,,,,
delivered with consignee s authority received by kindermann wolfgang-DPD UK-Delivered,delivered with consignee s authority received by kindermann wolfgang,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by swiss paket-DPD UK-Delivered,delivered with consignee s authority received by swiss paket,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivered with consignee s authority received by sylwia gwardys-DPD UK-Delivered,delivered with consignee s authority received by sylwia gwardys,RegEx,d583ab1d-2667-419c-b84e-4320192e1825,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivered,Delivered,,,,,,,,
delivery refused by danthony using saturn-DPD UK-Delivery refused,delivery refused by danthony using saturn,RegEx,0f360233-f02d-4399-b561-8da5abf78eb4,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery refused,Delivery refused,,,,,,,,
delivery to dpd pickup shop awg mode center requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop awg mode center requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop gordijn wereld requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop gordijn wereld requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop king candy schwerin requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop king candy schwerin requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop pieterse mode textiel requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop pieterse mode textiel requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop sahin sahin gbr requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop sahin sahin gbr requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop top1toys drachten requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop top1toys drachten requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
delivery to dpd pickup shop wow nails nijmegen requested-DPD UK-Delivery to pick-up point requested,delivery to dpd pickup shop wow nails nijmegen requested,RegEx,e91cdab5-9f28-4c32-ac82-5b052f3c3978,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Delivery to pick-up point requested,Delivery to pick-up point requested,,,,,,,,
image requested for carrier request received by image system-DPD UK-Internal activity scan,image requested for carrier request received by image system,RegEx,91349ad2-8859-4778-a6a2-a280b3e2a2e8,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Internal activity scan,Internal activity scan,,,,,,,,
redelivery request service upgrade made for fri 18 october 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent-DPD UK-Request to reschedule delivery,redelivery request service upgrade made for fri 18 october 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,RegEx,399c081b-ae68-4372-9034-172fcc2619f3,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Request to reschedule delivery,Internal activity scan,,,,,,,,
unable to deliver recipient absent by mike-DPD UK-Held for inspection by government agency,unable to deliver recipient absent by mike,RegEx,e197487d-bc6b-48e8-a617-3b80bfc78144,DPD UK,5d0e294f-b483-4ba8-bd53-7f058427f35a,Held for inspection by government agency,Delivery attempted. Receiver not available for delivery,,,,,,,,
